interview__key;interview__id;date_debut;I1;I1a;I2;I3;I4;JNAME;JMATRICULE;J0__1;J0__2;J0__3;J0__4;J0__5;J0__6;J0__7;J0__8;J0__9;J0__10;J0__11;J0__12;J0__13;J0__14;J0__15;J0__16;J0__17;J0__18;J0__19;J0__20;J0__21;J0__22;J0__23;J0__24;date_fin;J15;J1__id;J1a;J1b;J1c;groupe;J2;J9;J10;J11;J12;J13;J14;J14a;j2a__id;J3;J4;J5;J6;J7;J8
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;8,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;9,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;10,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;11,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;12,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;13,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;14,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;15,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;16,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;17,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
